;O_P_ Numero;Item_O_P;Desc_item;ITEMS_NUEVO ;Bodega;Fecha;U_M_inv.;Neto_peso;Entradas_peso;Entradas_inv;Salidas_inv;Salidas_peso;Salidas_prom;Neto_prom;Costo_MP_sal;Costo_MO_sal;Costo_CIF_sal;Tipo_inventario;Costo_CIF_NP_ent;Costo_MO_ent;Costo_CIF_EN_ent;Tipo_docto
;OP-00001766;00001142 TUBO RECT 2X1 C.18A;CINTA 0.95 MM x 147 MM;OP-0000176600001142 TUBO RECT 2X1 C.18A;00105;16/02/2022;kg  ;-3.706,00;0,00;0,00;3.706,00;3.706,00;$15.773.343,27;-$15.773.343,27;$15.749.217,15;$9.893,79;$14.232,33;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00001142 TUBO RECT 2X1 C.18A;TUBO RECT 2X1 C.18A;OP-0000176600001142 TUBO RECT 2X1 C.18A;00105;17/02/2022;Und ;3.915,97;3.915,97;547,00;0,00;0,00;$0,00;$16.302.140,91;$0,00;$0,00;$0,00;IN143005  ;$14.232,33;$152.236,83;$386.454,60;EDP
;OP-00001766;00001143 TUBO RECT 2X1 C.20A;CINTA 0.75 MM x 147 MM;OP-0000176600001143 TUBO RECT 2X1 C.20A;00105;16/02/2022;kg  ;-894,00;0,00;0,00;894,00;894,00;$3.911.705,94;-$3.911.705,94;$3.905.912,82;$2.378,04;$3.415,08;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00001143 TUBO RECT 2X1 C.20A;TUBO RECT 2X1 C.20A;OP-0000176600001143 TUBO RECT 2X1 C.20A;00105;17/02/2022;Und ;980,05;980,05;170,00;0,00;0,00;$0,00;$4.031.839,05;$0,00;$0,00;$0,00;IN143005  ;$3.415,08;$34.693,05;$87.818,10;EDP
;OP-00001766;00001144 TUBO RECT 2X1 C.20 B;CINTA 0.8 MM x 147 MM;OP-0000176600001144 TUBO RECT 2X1 C.20 B;00105;16/02/2022;kg  ;-1.186,00;0,00;0,00;1.186,00;1.186,00;$4.570.096,82;-$4.570.096,82;$4.545.688,94;$10.009,84;$14.398,04;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00001144 TUBO RECT 2X1 C.20 B;TUBO RECT 2X1 C.20 B;OP-0000176600001144 TUBO RECT 2X1 C.20 B;00105;17/02/2022;Und ;1.278,90;1.278,90;210,00;0,00;0,00;$0,00;$4.714.218,18;$0,00;$0,00;$0,00;IN143005  ;$14.398,04;$48.866,35;$105.264,85;EDP
;OP-00001766;00001146 TUBO RECT 3X1 1/2 C.18B;CINTA 1,05 MM x 224 MM;OP-0000176600001146 TUBO RECT 3X1 1/2 C.18B;00105;16/02/2022;kg  ;-4.200,00;0,00;0,00;4.200,00;4.200,00;$18.220.215,90;-$18.220.215,90;$18.202.674,00;$7.182,00;$10.359,90;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00001146 TUBO RECT 3X1 1/2 C.18B;TUBO RECT 3X1 1/2 C.18B;OP-0000176600001146 TUBO RECT 3X1 1/2 C.18B;00105;17/02/2022;Und ;4.401,54;4.401,54;371,00;0,00;0,00;$0,00;$18.796.957,76;$0,00;$0,00;$0,00;IN143005  ;$10.359,90;$162.477,21;$421.446,65;EDP
;OP-00001766;00001148 TUBO RECT 3X1 1/2 C.20A;CINTA 0.75 MM x 224 MM;OP-0000176600001148 TUBO RECT 3X1 1/2 C.20A;00105;16/02/2022;kg  ;-2.724,00;0,00;0,00;2.724,00;2.724,00;$11.754.468,60;-$11.754.468,60;$11.745.506,64;$3.677,40;$5.284,56;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00001148 TUBO RECT 3X1 1/2 C.20A;TUBO RECT 3X1 1/2 C.20A;OP-0000176600001148 TUBO RECT 3X1 1/2 C.20A;00105;17/02/2022;Und ;2.640,17;2.640,17;306,00;0,00;0,00;$0,00;$12.090.767,61;$0,00;$0,00;$0,00;IN143005  ;$5.284,56;$94.211,76;$245.764,65;EDP
;OP-00001766;00002359 TUBO CUAD 3/4 C.18A;CINTA 0.95 MM X 72 MM;OP-0000176600002359 TUBO CUAD 3/4 C.18A;00105;16/02/2022;kg  ;-908,00;0,00;0,00;908,00;908,00;$3.887.120,64;-$3.887.120,64;$3.874.635,76;$5.121,12;$7.363,76;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00002359 TUBO CUAD 3/4 C.18A;TUBO CUAD 3/4 C.18A;OP-0000176600002359 TUBO CUAD 3/4 C.18A;00105;17/02/2022;Und ;980,00;980,00;280,00;0,00;0,00;$0,00;$4.011.907,05;$0,00;$0,00;$0,00;IN143005  ;$7.363,76;$38.744,43;$91.163,10;EDP
;OP-00001766;00002362 TUBO RECT 4X1 1/2 C.20B;CINTA CR 0.8 MM X 270 MM;OP-0000176600002362 TUBO RECT 4X1 1/2 C.20B;00105;16/02/2022;kg  ;-2.163,00;0,00;0,00;2.163,00;2.163,00;$8.666.297,43;-$8.666.297,43;$8.256.387,30;$239.660,40;$170.249,73;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00002362 TUBO RECT 4X1 1/2 C.20B;TUBO RECT 4X1 1/2 C.20B;OP-0000176600002362 TUBO RECT 4X1 1/2 C.20B;00105;17/02/2022;Und ;2.200,00;2.200,00;200,00;0,00;0,00;$0,00;$8.954.652,22;$0,00;$0,00;$0,00;IN143005  ;$170.249,73;$317.242,59;$210.772,60;EDP
;OP-00001766;00004332 TUBO RED HR 1/2 CAL 16 B;CINTA HR 1,40 MM X 58 MM;OP-0000176600004332 TUBO RED HR 1/2 CAL 16 B;00105;16/02/2022;kg  ;-980,00;0,00;0,00;980,00;980,00;$4.317.801,60;-$4.317.801,60;$4.303.366,20;$4.537,40;$9.898,00;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00004332 TUBO RED HR 1/2 CAL 16 B;TUBO RED HR 1/2 CAL 16 B;OP-0000176600004332 TUBO RED HR 1/2 CAL 16 B;00105;17/02/2022;Und ;910,08;910,08;237,00;0,00;0,00;$0,00;$4.452.183,31;$0,00;$0,00;$0,00;IN143005  ;$9.898,00;$40.777,31;$98.141,80;EDP
;OP-00001766;00004421 TUBO CR REDONDO 7/8 CAL 20A;CINTA CR 0.75 MM X 68 MM;OP-0000176600004421 TUBO CR REDONDO 7/8 CAL 20A;00105;16/02/2022;kg  ;-1.071,00;0,00;0,00;1.071,00;1.071,00;$4.601.358,72;-$4.601.358,72;$4.592.442,64;$3.657,46;$5.258,62;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00004421 TUBO CR REDONDO 7/8 CAL 20A;TUBO CR REDONDO 7/8 CAL 20A;OP-0000176600004421 TUBO CR REDONDO 7/8 CAL 20A;00105;17/02/2022;Und ;1.099,80;1.099,80;423,00;0,00;0,00;$0,00;$4.745.480,08;$0,00;$0,00;$0,00;IN143005  ;$5.258,62;$42.513,97;$105.264,85;EDP
;OP-00001766;00004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;CINTA HR 1.35 MM X 295 MM;OP-0000176600004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;00105;16/02/2022;kg  ;-2.432,00;0,00;0,00;2.432,00;2.432,00;$10.884.464,64;-$10.884.464,64;$10.874.396,16;$4.134,40;$5.934,08;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;TUBO RECT HR 100 MM X 50 MM CAL 16B;OP-0000176600004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;00105;17/02/2022;Und ;2.460,00;2.460,00;120,00;0,00;0,00;$0,00;$11.124.907,49;$0,00;$0,00;$0,00;IN143005  ;$5.934,08;$68.895,25;$175.682,00;EDP
;OP-00001766;00004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);CINTA HR 1.20 MM X 195 MM;OP-0000176600004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);00105;16/02/2022;kg  ;-3.210,00;0,00;0,00;3.210,00;3.210,00;$14.408.967,75;-$14.408.967,75;$14.393.238,75;$6.452,10;$9.276,90;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);OP-0000176600004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);00105;17/02/2022;Und ;3.372,00;3.372,00;281,00;0,00;0,00;$0,00;$14.841.443,90;$0,00;$0,00;$0,00;IN143005  ;$9.276,90;$122.890,80;$316.037,45;EDP
;OP-00001766;00005000 TUBO RECT HR 100 X 50 CAL 14B;CINTA HR 1.80 MM X 297 MM;OP-0000176600005000 TUBO RECT HR 100 X 50 CAL 14B;00105;16/02/2022;kg  ;-1.753,00;0,00;0,00;1.753,00;1.753,00;$7.673.617,26;-$7.673.617,26;$7.665.518,40;$3.313,17;$4.785,69;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001766;00005000 TUBO RECT HR 100 X 50 CAL 14B;TUBO RECT HR 100 X 50 CAL 14B;OP-0000176600005000 TUBO RECT HR 100 X 50 CAL 14B;00105;17/02/2022;Und ;1.855,04;1.855,04;68,00;0,00;0,00;$0,00;$7.914.060,11;$0,00;$0,00;$0,00;IN143005  ;$4.785,69;$68.074,02;$175.682,00;EDP
;OP-00001767;00002366 FLEJE GALV CORRIENTE CAL. 24;CINTA GALV 0.52 MM X 145 MM;OP-0000176700002366 FLEJE GALV CORRIENTE CAL. 24;00105;16/02/2022;kg  ;-5.136,00;0,00;0,00;5.136,00;5.136,00;$22.983.231,92;-$22.983.231,92;$22.946.030,16;$15.253,92;$21.947,84;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001767;00002366 FLEJE GALV CORRIENTE CAL. 24;FLEJE GALV CORRIENTE CAL. 24;OP-0000176700002366 FLEJE GALV CORRIENTE CAL. 24;00105;17/02/2022;Und ;5.325,00;5.325,00;1.420,00;0,00;0,00;$0,00;$23.595.040,42;$0,00;$0,00;$0,00;IN143005  ;$21.947,84;$368.494,92;$258.567,50;EDP
;OP-00001768;00001123 TUBO CUAD 1 1/2 C.18B;CINTA 1,05 MM x 147 MM;OP-0000176800001123 TUBO CUAD 1 1/2 C.18B;00105;17/02/2022;kg  ;-906,00;0,00;0,00;906,00;906,00;$3.978.336,98;-$3.978.336,98;$3.971.442,72;$2.818,23;$4.076,03;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00001123 TUBO CUAD 1 1/2 C.18B;TUBO CUAD 1 1/2 C.18B;OP-0000176800001123 TUBO CUAD 1 1/2 C.18B;00105;18/02/2022;Und ;984,38;984,38;125,00;0,00;0,00;$0,00;$4.121.303,54;$0,00;$0,00;$0,00;IN143005  ;$4.076,03;$41.674,74;$104.110,05;EDP
;OP-00001768;00001124 TUBO CUAD 1 1/2 C.20A;CINTA 0.75 MM x 147 MM;OP-0000176800001124 TUBO CUAD 1 1/2 C.20A;00105;17/02/2022;kg  ;-924,00;0,00;0,00;924,00;924,00;$4.042.989,72;-$4.042.989,72;$4.036.983,72;$2.457,84;$3.548,16;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00001124 TUBO CUAD 1 1/2 C.20A;TUBO CUAD 1 1/2 C.20A;OP-0000176800001124 TUBO CUAD 1 1/2 C.20A;00105;18/02/2022;Und ;1.008,88;1.008,88;175,00;0,00;0,00;$0,00;$4.185.956,28;$0,00;$0,00;$0,00;IN143005  ;$3.548,16;$41.314,35;$104.110,05;EDP
;OP-00001768;00001125 TUBO CUAD 1 1/2 C.20B;CINTA 0.8 MM x 147 MM;OP-0000176800001125 TUBO CUAD 1 1/2 C.20B;00105;17/02/2022;kg  ;-1.197,00;0,00;0,00;1.197,00;1.197,00;$4.612.495,86;-$4.612.495,86;$4.587.861,60;$10.102,68;$14.531,58;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00001125 TUBO CUAD 1 1/2 C.20B;TUBO CUAD 1 1/2 C.20B;OP-0000176800001125 TUBO CUAD 1 1/2 C.20B;00105;18/02/2022;Und ;1.284,99;1.284,99;211,00;0,00;0,00;$0,00;$4.778.808,71;$0,00;$0,00;$0,00;IN143005  ;$14.531,58;$55.239,03;$121.176,50;EDP
;OP-00001768;00001138 TUBO RECT 20X40 C.18B;CINTA 1,05 MM X 117 MM;OP-0000176800001138 TUBO RECT 20X40 C.18B;00105;17/02/2022;kg  ;-1.812,00;0,00;0,00;1.812,00;1.812,00;$7.718.049,74;-$7.718.049,74;$7.708.255,14;$4.017,20;$5.777,40;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00001138 TUBO RECT 20X40 C.18B;TUBO RECT 20X40 C.18B;OP-0000176800001138 TUBO RECT 20X40 C.18B;00105;18/02/2022;Und ;1.956,10;1.956,10;310,00;0,00;0,00;$0,00;$7.979.673,63;$0,00;$0,00;$0,00;IN143005  ;$5.777,40;$75.057,89;$190.583,20;EDP
;OP-00001768;00001143 TUBO RECT 2X1 C.20A;CINTA 0.75 MM x 147 MM;OP-0000176800001143 TUBO RECT 2X1 C.20A;00105;17/02/2022;kg  ;-894,00;0,00;0,00;894,00;894,00;$3.911.705,94;-$3.911.705,94;$3.905.912,82;$2.378,04;$3.415,08;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00001143 TUBO RECT 2X1 C.20A;TUBO RECT 2X1 C.20A;OP-0000176800001143 TUBO RECT 2X1 C.20A;00105;18/02/2022;Und ;980,05;980,05;170,00;0,00;0,00;$0,00;$4.054.672,50;$0,00;$0,00;$0,00;IN143005  ;$3.415,08;$41.234,55;$104.110,05;EDP
;OP-00001768;00001146 TUBO RECT 3X1 1/2 C.18B;CINTA 1,05 MM x 224 MM;OP-0000176800001146 TUBO RECT 3X1 1/2 C.18B;00105;17/02/2022;kg  ;-1.380,00;0,00;0,00;1.380,00;1.380,00;$5.986.647,00;-$5.986.647,00;$5.980.878,60;$2.373,60;$3.394,80;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00001146 TUBO RECT 3X1 1/2 C.18B;TUBO RECT 3X1 1/2 C.18B;OP-0000176800001146 TUBO RECT 3X1 1/2 C.18B;00105;18/02/2022;Und ;1.376,22;1.376,22;116,00;0,00;0,00;$0,00;$6.200.936,35;$0,00;$0,00;$0,00;IN143005  ;$3.394,80;$60.592,95;$156.070,00;EDP
;OP-00001768;00001148 TUBO RECT 3X1 1/2 C.20A;CINTA 0.75 MM x 225 MM;OP-0000176800001148 TUBO RECT 3X1 1/2 C.20A;00105;17/02/2022;kg  ;-1.788,00;0,00;0,00;1.788,00;1.788,00;$7.633.848,12;-$7.633.848,12;$7.629.521,16;$1.788,00;$2.538,96;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00001148 TUBO RECT 3X1 1/2 C.20A;TUBO RECT 3X1 1/2 C.20A;OP-0000176800001148 TUBO RECT 3X1 1/2 C.20A;00105;18/02/2022;Und ;1.863,65;1.863,65;216,00;0,00;0,00;$0,00;$7.895.472,01;$0,00;$0,00;$0,00;IN143005  ;$2.538,96;$72.828,69;$190.583,20;EDP
;OP-00001768;00002362 TUBO RECT 4X1 1/2 C.20B;CINTA CR 0.8 MM X 270 MM;OP-0000176800002362 TUBO RECT 4X1 1/2 C.20B;00105;17/02/2022;kg  ;-2.164,00;0,00;0,00;2.164,00;2.164,00;$8.670.259,28;-$8.670.259,28;$8.260.203,74;$239.762,94;$170.292,60;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00002362 TUBO RECT 4X1 1/2 C.20B;TUBO RECT 4X1 1/2 C.20B;OP-0000176800002362 TUBO RECT 4X1 1/2 C.20B;00105;18/02/2022;Und ;2.343,00;2.343,00;213,00;0,00;0,00;$0,00;$8.979.859,67;$0,00;$0,00;$0,00;IN143005  ;$170.292,60;$323.886,63;$225.476,70;EDP
;OP-00001768;00004332 TUBO RED HR 1/2 CAL 16 B;CINTA HR 1,40 MM X 58 MM;OP-0000176800004332 TUBO RED HR 1/2 CAL 16 B;00105;17/02/2022;kg  ;-403,00;0,00;0,00;403,00;403,00;$1.775.593,82;-$1.775.593,82;$1.769.653,60;$1.865,89;$4.074,33;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00004332 TUBO RED HR 1/2 CAL 16 B;TUBO RED HR 1/2 CAL 16 B;OP-0000176800004332 TUBO RED HR 1/2 CAL 16 B;00105;18/02/2022;Und ;376,32;376,32;98,00;0,00;0,00;$0,00;$1.846.916,61;$0,00;$0,00;$0,00;IN143005  ;$4.074,33;$21.228,73;$51.959,95;EDP
;OP-00001768;00004421 TUBO CR REDONDO 7/8 CAL 20A;CINTA CR 0.75 MM X 68 MM;OP-0000176800004421 TUBO CR REDONDO 7/8 CAL 20A;00105;17/02/2022;kg  ;-536,00;0,00;0,00;536,00;536,00;$2.302.827,52;-$2.302.827,52;$2.298.368,00;$1.833,12;$2.626,40;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00004421 TUBO CR REDONDO 7/8 CAL 20A;TUBO CR REDONDO 7/8 CAL 20A;OP-0000176800004421 TUBO CR REDONDO 7/8 CAL 20A;00105;18/02/2022;Und ;572,00;572,00;220,00;0,00;0,00;$0,00;$2.374.150,31;$0,00;$0,00;$0,00;IN143005  ;$2.626,40;$21.195,96;$51.959,95;EDP
;OP-00001768;00004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;CINTA HR 1.35 MM X 295 MM;OP-0000176800004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;00105;17/02/2022;kg  ;-2.458,00;0,00;0,00;2.458,00;2.458,00;$11.000.779,00;-$11.000.779,00;$10.990.652,04;$4.154,02;$5.972,94;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;TUBO RECT HR 100 MM X 50 MM CAL 16B;OP-0000176800004573 TUBO RECT HR 100 MM X 50 MM CAL 16B;00105;18/02/2022;Und ;2.521,50;2.521,50;123,00;0,00;0,00;$0,00;$11.358.034,91;$0,00;$0,00;$0,00;IN143005  ;$5.972,94;$101.229,88;$260.180,05;EDP
;OP-00001768;00004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);CINTA HR 1.20 MM X 195 MM;OP-0000176800004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);00105;17/02/2022;kg  ;-1.627,00;0,00;0,00;1.627,00;1.627,00;$7.303.196,25;-$7.303.196,25;$7.295.256,49;$3.270,27;$4.669,49;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001768;00004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);OP-0000176800004980 TUBO CUAD HR 50 X 50 CAL 18 LEG (1.20MM);00105;18/02/2022;Und ;1.788,00;1.788,00;149,00;0,00;0,00;$0,00;$7.541.473,85;$0,00;$0,00;$0,00;IN143005  ;$4.669,49;$68.031,12;$173.516,75;EDP
;OP-00001769;00004470 PERFIL LIV.  VIGUETA GALV CAL. 26;CINTA GALV 0.38 MM X 75 MM;OP-0000176900004470 PERFIL LIV.  VIGUETA GALV CAL. 26;00105;17/02/2022;kg  ;-371,00;0,00;0,00;371,00;371,00;$1.515.987,62;-$1.515.987,62;$1.510.014,52;$2.107,28;$3.865,82;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001769;00004470 PERFIL LIV.  VIGUETA GALV CAL. 26;PERFIL LIV.  VIGUETA GALV CAL. 26;OP-0000176900004470 PERFIL LIV.  VIGUETA GALV CAL. 26;00105;18/02/2022;Und ;415,40;415,40;670,00;0,00;0,00;$0,00;$1.744.056,62;$0,00;$0,00;$0,00;IN143005  ;$3.865,82;$116.290,28;$113.886,00;EDP
;OP-00001770;00002366 FLEJE GALV CORRIENTE CAL. 24;CINTA GALV 0.52 MM X 145 MM;OP-0000177000002366 FLEJE GALV CORRIENTE CAL. 24;00105;17/02/2022;kg  ;-1.936,00;0,00;0,00;1.936,00;1.936,00;$8.663.460,00;-$8.663.460,00;$8.649.437,04;$5.749,92;$8.273,04;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001770;00002366 FLEJE GALV CORRIENTE CAL. 24;FLEJE GALV CORRIENTE CAL. 24;OP-0000177000002366 FLEJE GALV CORRIENTE CAL. 24;00105;18/02/2022;Und ;1.998,75;1.998,75;533,00;0,00;0,00;$0,00;$9.069.752,50;$0,00;$0,00;$0,00;IN143005  ;$8.273,04;$241.243,92;$170.798,50;EDP
;OP-00001771;00001121 PERFIL PASAMANOS T.A. C.20A;CINTA 0.75 MM x 110 MM;OP-0000177100001121 PERFIL PASAMANOS T.A. C.20A;00105;16/02/2022;kg  ;-2.614,00;0,00;0,00;2.614,00;2.614,00;$11.181.960,12;-$11.181.960,12;$11.166.345,78;$6.421,72;$9.192,62;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001771;00001121 PERFIL PASAMANOS T.A. C.20A;PERFIL PASAMANOS T.A. C.20A;OP-0000177100001121 PERFIL PASAMANOS T.A. C.20A;00105;18/02/2022;Und ;2.733,12;2.733,12;657,00;0,00;0,00;$0,00;$11.510.492,87;$0,00;$0,00;$0,00;IN143005  ;$9.192,62;$94.731,97;$240.222,50;EDP
;OP-00001771;00004470 PERFIL LIV.  VIGUETA GALV CAL. 26;CINTA GALV 0.38 MM X 75 MM;OP-0000177100004470 PERFIL LIV.  VIGUETA GALV CAL. 26;00105;16/02/2022;kg  ;-870,00;0,00;0,00;870,00;870,00;$3.555.011,40;-$3.555.011,40;$3.541.004,40;$4.941,60;$9.065,40;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001771;00004470 PERFIL LIV.  VIGUETA GALV CAL. 26;PERFIL LIV.  VIGUETA GALV CAL. 26;OP-0000177100004470 PERFIL LIV.  VIGUETA GALV CAL. 26;00105;18/02/2022;Und ;834,52;834,52;1.346,00;0,00;0,00;$0,00;$3.899.049,90;$0,00;$0,00;$0,00;IN143005  ;$9.065,40;$176.216,10;$172.764,00;EDP
;OP-00001772;00001225 CINTA 0.75 MM x 147 MM;CINTA 0.75 MM x 147 MM;OP-0000177200001225 CINTA 0.75 MM x 147 MM;00105;17/02/2022;kg  ;10.653,00;10.653,00;10.653,00;0,00;0,00;$0,00;$46.937.096,50;$0,00;$0,00;$0,00;IN141006  ;$0,00;$34.146,20;$49.107,90;EDP
;OP-00001772;00001225 CINTA 0.75 MM x 147 MM;KILOS BOBINA 0.75 X 1.220;OP-0000177200001225 CINTA 0.75 MM x 147 MM;00105;17/02/2022;kg  ;-10.690,00;0,00;0,00;10.690,00;10.690,00;$46.853.842,40;-$46.853.842,40;$46.853.842,40;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001772;00001344 CINTA 0.75 MM x 73 MM;CINTA 0.75 MM x 73 MM;OP-0000177200001344 CINTA 0.75 MM x 73 MM;00105;17/02/2022;kg  ;5.290,00;5.290,00;5.290,00;0,00;0,00;$0,00;$23.431.282,02;$0,00;$0,00;$0,00;IN141006  ;$0,00;$34.146,20;$49.107,90;EDP
;OP-00001772;00001344 CINTA 0.75 MM x 73 MM;KILOS BOBINA 0.75 X 1.220;OP-0000177200001344 CINTA 0.75 MM x 73 MM;00105;17/02/2022;kg  ;-5.327,00;0,00;0,00;5.327,00;5.327,00;$23.348.027,92;-$23.348.027,92;$23.348.027,92;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001772;00002404 CINTA 0,75 MM X 116 MM;CINTA 0,75 MM X 116 MM;OP-0000177200002404 CINTA 0,75 MM X 116 MM;00105;17/02/2022;kg  ;4.203,00;4.203,00;4.203,00;0,00;0,00;$0,00;$18.542.101,21;$0,00;$0,00;$0,00;IN141006  ;$0,00;$17.073,10;$24.553,95;EDP
;OP-00001772;00002404 CINTA 0,75 MM X 116 MM;KILOS BOBINA 0.75 X 1.220;OP-0000177200002404 CINTA 0,75 MM X 116 MM;00105;17/02/2022;kg  ;-4.221,00;0,00;0,00;4.221,00;4.221,00;$18.500.474,16;-$18.500.474,16;$18.500.474,16;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001772;00002979 CINTA 0.75 MM x 109 MM;CINTA 0.75 MM x 109 MM;OP-0000177200002979 CINTA 0.75 MM x 109 MM;00105;17/02/2022;kg  ;15.799,00;15.799,00;15.799,00;0,00;0,00;$0,00;$69.732.849,32;$0,00;$0,00;$0,00;IN141006  ;$0,00;$68.292,40;$98.215,80;EDP
;OP-00001772;00002979 CINTA 0.75 MM x 109 MM;KILOS BOBINA 0.75 X 1.220;OP-0000177200002979 CINTA 0.75 MM x 109 MM;00105;17/02/2022;kg  ;-15.872,00;0,00;0,00;15.872,00;15.872,00;$69.566.341,12;-$69.566.341,12;$69.566.341,12;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001772;00003984 CINTA HR 1,35 MM X 224 MM;CINTA HR 1,35 MM X 224 MM;OP-0000177200003984 CINTA HR 1,35 MM X 224 MM;00105;17/02/2022;kg  ;1.875,00;1.875,00;1.875,00;0,00;0,00;$0,00;$8.403.813,81;$0,00;$0,00;$0,00;IN141006  ;$0,00;$3.414,62;$4.910,79;EDP
;OP-00001772;00003984 CINTA HR 1,35 MM X 224 MM;KILOS BOBINA HR 1.35 X 1.219;OP-0000177200003984 CINTA HR 1,35 MM X 224 MM;00105;17/02/2022;kg  ;-1.885,00;0,00;0,00;1.885,00;1.885,00;$8.395.488,40;-$8.395.488,40;$8.395.488,40;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001772;00004349 CINTA CR 0.75 MM X 93 MM;CINTA CR 0.75 MM X 93 MM;OP-0000177200004349 CINTA CR 0.75 MM X 93 MM;00105;17/02/2022;kg  ;6.740,00;6.740,00;6.740,00;0,00;0,00;$0,00;$29.777.808,10;$0,00;$0,00;$0,00;IN141006  ;$0,00;$34.146,20;$49.107,90;EDP
;OP-00001772;00004349 CINTA CR 0.75 MM X 93 MM;KILOS BOBINA 0.75 X 1.220;OP-0000177200004349 CINTA CR 0.75 MM X 93 MM;00105;17/02/2022;kg  ;-6.775,00;0,00;0,00;6.775,00;6.775,00;$29.694.554,00;-$29.694.554,00;$29.694.554,00;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001772;00004784 CINTA CR 0.75 MM X 38 MM;CINTA CR 0.75 MM X 38 MM;OP-0000177200004784 CINTA CR 0.75 MM X 38 MM;00105;17/02/2022;kg  ;1.377,00;1.377,00;1.377,00;0,00;0,00;$0,00;$6.155.856,25;$0,00;$0,00;$0,00;IN141006  ;$0,00;$17.073,10;$24.553,95;EDP
;OP-00001772;00004784 CINTA CR 0.75 MM X 38 MM;KILOS BOBINA 0.75 X 1.220;OP-0000177200004784 CINTA CR 0.75 MM X 38 MM;00105;17/02/2022;kg  ;-1.395,00;0,00;0,00;1.395,00;1.395,00;$6.114.229,20;-$6.114.229,20;$6.114.229,20;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001772;00004973 CINTA HR 1.35 MM X 195 MM;CINTA HR 1.35 MM X 195 MM;OP-0000177200004973 CINTA HR 1.35 MM X 195 MM;00105;17/02/2022;kg  ;4.926,00;4.926,00;4.926,00;0,00;0,00;$0,00;$22.098.697,00;$0,00;$0,00;$0,00;IN141006  ;$0,00;$10.444,72;$15.021,24;EDP
