;O_P_ Numero;Item_O_P;Desc_item;ITEMS_NUEVO ;Bodega;Fecha;U_M_inv.;Neto_peso;Entradas_peso;Entradas_inv;Salidas_inv;Salidas_peso;Salidas_prom;Neto_prom;Costo_MP_sal;Costo_MO_sal;Costo_CIF_sal;Tipo_inventario;Costo_CIF_NP_ent;Costo_MO_ent;Costo_CIF_EN_ent;Tipo_docto
;OP-00001711;00001128 TUBO CUAD 1 C.18B;CINTA CR 1.05 MM X 93 MM;OP-0000171100001128 TUBO CUAD 1 C.18B;00105;09/02/2022;kg  ;-717,00;0,00;0,00;717,00;717,00;$3.058.463,88;-$3.058.463,88;$3.053.581,11;$2.000,43;$2.882,34;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001128 TUBO CUAD 1 C.18B;TUBO CUAD 1 C.18B;OP-0000171100001128 TUBO CUAD 1 C.18B;00105;11/02/2022;Und ;791,39;791,39;156,00;0,00;0,00;$0,00;$3.139.494,04;$0,00;$0,00;$0,00;IN143005  ;$2.882,34;$23.849,04;$59.181,55;EDP
;OP-00001711;00001130 TUBO CUAD 1 C.20A;CINTA CR 0.75 MM X 93 MM;OP-0000171100001130 TUBO CUAD 1 C.20A;00105;09/02/2022;kg  ;-723,00;0,00;0,00;723,00;723,00;$3.097.071,72;-$3.097.071,72;$3.092.242,08;$1.981,02;$2.848,62;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001130 TUBO CUAD 1 C.20A;TUBO CUAD 1 C.20A;OP-0000171100001130 TUBO CUAD 1 C.20A;00105;11/02/2022;Und ;816,87;816,87;219,00;0,00;0,00;$0,00;$3.178.101,88;$0,00;$0,00;$0,00;IN143005  ;$2.848,62;$23.829,63;$59.181,55;EDP
;OP-00001711;00001134 TUBO CUAD 3/4 C.20A;CINTA 0.75 MM x 73 MM;OP-0000171100001134 TUBO CUAD 3/4 C.20A;00105;09/02/2022;kg  ;-1.143,00;0,00;0,00;1.143,00;1.143,00;$4.906.144,71;-$4.906.144,71;$4.896.400,59;$3.994,83;$5.749,29;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001134 TUBO CUAD 3/4 C.20A;TUBO CUAD 3/4 C.20A;OP-0000171100001134 TUBO CUAD 3/4 C.20A;00105;11/02/2022;Und ;1.259,35;1.259,35;445,00;0,00;0,00;$0,00;$5.014.099,45;$0,00;$0,00;$0,00;IN143005  ;$5.749,29;$33.169,92;$78.779,65;EDP
;OP-00001711;00001139 TUBO RECT 20X40 C.20A;CINTA 0,75 MM X 116 MM;OP-0000171100001139 TUBO RECT 20X40 C.20A;00105;09/02/2022;kg  ;-727,00;0,00;0,00;727,00;727,00;$3.109.022,77;-$3.109.022,77;$3.104.900,68;$1.693,91;$2.428,18;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001139 TUBO RECT 20X40 C.20A;CINTA 0.75 MM x 117 MM;OP-0000171100001139 TUBO RECT 20X40 C.20A;00105;09/02/2022;kg  ;-909,00;0,00;0,00;909,00;909,00;$3.651.571,17;-$3.651.571,17;$3.645.980,82;$2.281,59;$3.308,76;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001139 TUBO RECT 20X40 C.20A;TUBO RECT 20X40 C.20A;OP-0000171100001139 TUBO RECT 20X40 C.20A;00105;11/02/2022;Und ;1.852,00;1.852,00;400,00;0,00;0,00;$0,00;$6.922.686,54;$0,00;$0,00;$0,00;IN143005  ;$5.736,94;$47.803,55;$118.264,55;EDP
;OP-00001711;00001141 TUBO RECT 2X1 C.18B;CINTA 1,05 MM x 147 MM;OP-0000171100001141 TUBO RECT 2X1 C.18B;00105;09/02/2022;kg  ;-2.296,00;0,00;0,00;2.296,00;2.296,00;$9.788.880,12;-$9.788.880,12;$9.781.523,60;$3.010,72;$4.345,80;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001141 TUBO RECT 2X1 C.18B;TUBO RECT 2X1 C.18B;OP-0000171100001141 TUBO RECT 2X1 C.18B;00105;11/02/2022;Und ;2.441,25;2.441,25;310,00;0,00;0,00;$0,00;$10.032.179,51;$0,00;$0,00;$0,00;IN143005  ;$4.345,80;$68.818,21;$177.491,90;EDP
;OP-00001711;00001142 TUBO RECT 2X1 C.18A;CINTA 0.95 MM x 147 MM;OP-0000171100001142 TUBO RECT 2X1 C.18A;00105;09/02/2022;kg  ;-908,00;0,00;0,00;908,00;908,00;$3.763.532,88;-$3.763.532,88;$3.758.729,56;$1.970,36;$2.832,96;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001142 TUBO RECT 2X1 C.18A;TUBO RECT 2X1 C.18A;OP-0000171100001142 TUBO RECT 2X1 C.18A;00105;11/02/2022;Und ;973,62;973,62;136,00;0,00;0,00;$0,00;$3.871.487,62;$0,00;$0,00;$0,00;IN143005  ;$2.832,96;$31.145,45;$78.779,65;EDP
;OP-00001711;00001143 TUBO RECT 2X1 C.20A;CINTA 0.75 MM x 147 MM;OP-0000171100001143 TUBO RECT 2X1 C.20A;00105;09/02/2022;kg  ;-1.167,00;0,00;0,00;1.167,00;1.167,00;$4.985.622,39;-$4.985.622,39;$4.980.090,81;$2.275,65;$3.255,93;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001143 TUBO RECT 2X1 C.20A;TUBO RECT 2X1 C.20A;OP-0000171100001143 TUBO RECT 2X1 C.20A;00105;11/02/2022;Und ;1.291,36;1.291,36;224,00;0,00;0,00;$0,00;$5.093.577,13;$0,00;$0,00;$0,00;IN143005  ;$3.255,93;$31.450,74;$78.779,65;EDP
;OP-00001711;00001145 TUBO RECT 2X1 C.22;CINTA 0,65 MM x 147 MM;OP-0000171100001145 TUBO RECT 2X1 C.22;00105;09/02/2022;kg  ;-2.330,00;0,00;0,00;2.330,00;2.330,00;$9.748.894,75;-$9.748.894,75;$9.735.672,00;$5.417,25;$7.805,50;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001145 TUBO RECT 2X1 C.22;TUBO RECT 2X1 C.22;OP-0000171100001145 TUBO RECT 2X1 C.22;00105;11/02/2022;Und ;2.562,35;2.562,35;508,00;0,00;0,00;$0,00;$9.992.194,14;$0,00;$0,00;$0,00;IN143005  ;$7.805,50;$71.224,74;$177.491,90;EDP
;OP-00001711;00001146 TUBO RECT 3X1 1/2 C.18B;CINTA 1,05 MM x 225 MM;OP-0000171100001146 TUBO RECT 3X1 1/2 C.18B;00105;09/02/2022;kg  ;-5.292,00;0,00;0,00;5.292,00;5.292,00;$22.501.410,25;-$22.501.410,25;$22.489.667,84;$4.798,60;$6.943,81;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001146 TUBO RECT 3X1 1/2 C.18B;TUBO RECT 3X1 1/2 C.18B;OP-0000171100001146 TUBO RECT 3X1 1/2 C.18B;00105;11/02/2022;Und ;5.647,26;5.647,26;476,00;0,00;0,00;$0,00;$23.042.788,85;$0,00;$0,00;$0,00;IN143005  ;$6.943,81;$151.328,20;$394.849,00;EDP
;OP-00001711;00001147 TUBO RECT 3X1 1/2 C.18A;CINTA 0.95 MM x 225 MM;OP-0000171100001147 TUBO RECT 3X1 1/2 C.18A;00105;09/02/2022;kg  ;-1.440,00;0,00;0,00;1.440,00;1.440,00;$5.965.488,00;-$5.965.488,00;$5.958.360,00;$2.923,20;$4.204,80;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001147 TUBO RECT 3X1 1/2 C.18A;TUBO RECT 3X1 1/2 C.18A;OP-0000171100001147 TUBO RECT 3X1 1/2 C.18A;00105;11/02/2022;Und ;1.477,68;1.477,68;137,00;0,00;0,00;$0,00;$6.127.580,60;$0,00;$0,00;$0,00;IN143005  ;$4.204,80;$46.751,25;$118.264,55;EDP
;OP-00001711;00001151 TUBO RECT 4X1 1/2 C.18B;CINTA CR 1,05 MM X 270 MM;OP-0000171100001151 TUBO RECT 4X1 1/2 C.18B;00105;09/02/2022;kg  ;-2.145,00;0,00;0,00;2.145,00;2.145,00;$9.128.004,60;-$9.128.004,60;$9.125.280,45;$1.136,85;$1.587,30;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00001151 TUBO RECT 4X1 1/2 C.18B;TUBO RECT 4X1 1/2 C.18B;OP-0000171100001151 TUBO RECT 4X1 1/2 C.18B;00105;11/02/2022;Und ;2.146,00;2.146,00;148,00;0,00;0,00;$0,00;$9.344.379,41;$0,00;$0,00;$0,00;IN143005  ;$1.587,30;$59.617,86;$157.893,80;EDP
;OP-00001711;00002359 TUBO CUAD 3/4 C.18A;CINTA 0.95 MM x 73 MM;OP-0000171100002359 TUBO CUAD 3/4 C.18A;00105;09/02/2022;kg  ;-470,00;0,00;0,00;470,00;470,00;$1.935.610,40;-$1.935.610,40;$1.930.191,30;$2.218,40;$3.200,70;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00002359 TUBO CUAD 3/4 C.18A;TUBO CUAD 3/4 C.18A;OP-0000171100002359 TUBO CUAD 3/4 C.18A;00105;11/02/2022;Und ;504,00;504,00;144,00;0,00;0,00;$0,00;$1.984.019,95;$0,00;$0,00;$0,00;IN143005  ;$3.200,70;$15.301,40;$35.326,55;EDP
;OP-00001711;00002576 TUBO RECT HR 3 X 1 1/2 C.16B;CINTA HR 1,35 MM X 224 MM;OP-0000171100002576 TUBO RECT HR 3 X 1 1/2 C.16B;00105;09/02/2022;kg  ;-1.844,00;0,00;0,00;1.844,00;1.844,00;$8.249.244,64;-$8.249.244,64;$8.239.028,88;$4.185,88;$6.029,88;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00002576 TUBO RECT HR 3 X 1 1/2 C.16B;TUBO RECT HR 3 X 1 1/2 C.16B;OP-0000171100002576 TUBO RECT HR 3 X 1 1/2 C.16B;00105;11/02/2022;Und ;1.969,12;1.969,12;124,00;0,00;0,00;$0,00;$8.438.582,80;$0,00;$0,00;$0,00;IN143005  ;$6.029,88;$55.471,24;$138.052,80;EDP
;OP-00001711;00004337 TUBO CUAD HR 50 MM X 50 MM CAL 16;CINTA HR 1,4 MM X 196 MM;OP-0000171100004337 TUBO CUAD HR 50 MM X 50 MM CAL 16;00105;09/02/2022;kg  ;-1.620,00;0,00;0,00;1.620,00;1.620,00;$7.259.170,90;-$7.259.170,90;$7.251.819,62;$3.014,08;$4.337,20;IN141006  ;$0,00;$0,00;$0,00;SCM
;OP-00001711;00004337 TUBO CUAD HR 50 MM X 50 MM CAL 16;TUBO CUAD HR 50 MM X 50 MM CAL 16;OP-0000171100004337 TUBO CUAD HR 50 MM X 50 MM CAL 16;00105;11/02/2022;Und ;1.680,00;1.680,00;125,00;0,00;0,00;$0,00;$7.421.263,50;$0,00;$0,00;$0,00;IN143005  ;$4.337,20;$46.842,13;$118.264,55;EDP
;OP-00001711;"00005003 TUBO RED HR 1/2"" CAL.18 LEG";CINTA HR 1.20 MM X 57 MM;"OP-0000171100005003 TUBO RED HR 1/2"" CAL.18 LEG";00105;09/02/2022;kg  ;-814,00;0,00;0,00;814,00;814,00;$2.351.097,25;-$2.351.097,25;$2.323.045,41;$11.501,82;$16.550,02;IN141006  ;$0,00;$0,00;$0,00;SCM
